                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3322,                 2.1998,                 1.6611,                0.66042,                0.54947,                0.59915,                0.25334,                 1.7651,                 2.1101,                  2.084,              0.0033277,              0.0033277,              0.0033277
                      1,                 1.3107,                 1.7327,                 1.6428,                0.52679,                0.52948,                  0.502,                0.17146,                 2.0954,                 1.9076,                 2.4618,              0.0065951,              0.0065951,              0.0065951
                      2,                 1.4316,                 1.7641,                 1.7503,                0.45203,                0.43382,                0.39487,                0.14206,                 2.0359,                 2.1256,                 2.4643,              0.0097965,              0.0097965,              0.0097965
                      3,                 1.4952,                 1.8385,                 1.8064,                0.50528,                0.54505,                0.50099,                0.17936,                 2.1407,                 1.8125,                 2.5921,               0.009703,               0.009703,               0.009703
                      4,                 1.4478,                 1.7374,                 1.7782,                0.60787,                0.57247,                0.60313,                0.26866,                 1.8217,                 1.6417,                 2.1874,               0.009703,               0.009703,               0.009703
                      5,                 1.4111,                 1.6804,                 1.7495,                0.58595,                0.57953,                 0.5793,                0.23087,                 1.9629,                 1.7067,                  2.342,               0.009604,               0.009604,               0.009604
                      6,                 1.3881,                 1.6062,                 1.7185,                0.64352,                0.66065,                0.67554,                0.31197,                 1.7052,                 1.4047,                 2.0456,               0.009505,               0.009505,               0.009505
                      7,                 1.3467,                 1.5353,                 1.6929,                0.66585,                0.67964,                0.70273,                0.32271,                 1.7441,                 1.3887,                 2.0847,               0.009406,               0.009406,               0.009406
                      8,                 1.3196,                 1.4968,                  1.675,                0.70494,                0.64048,                0.69944,                  0.336,                 1.7402,                  1.409,                 2.0656,               0.009307,               0.009307,               0.009307
                      9,                 1.3148,                 1.4632,                  1.659,                0.73816,                0.71746,                0.75934,                0.36794,                 1.6608,                 1.2489,                 1.9564,               0.009208,               0.009208,               0.009208
                     10,                  1.294,                 1.4332,                  1.651,                0.68647,                0.69633,                0.72302,                0.34423,                 1.7032,                 1.3508,                  2.027,               0.009109,               0.009109,               0.009109
                     11,                 1.2809,                 1.3991,                 1.6321,                0.74347,                0.69955,                0.76245,                0.39156,                 1.6365,                 1.2388,                 1.9536,                0.00901,                0.00901,                0.00901
                     12,                 1.2651,                 1.3879,                 1.6185,                0.75013,                0.71413,                0.77223,                0.40675,                 1.5611,                 1.1894,                 1.9035,               0.008911,               0.008911,               0.008911
                     13,                 1.2494,                 1.3503,                 1.6087,                0.73393,                0.74972,                0.78259,                0.40274,                 1.5945,                 1.1485,                 1.9161,               0.008812,               0.008812,               0.008812
                     14,                  1.239,                 1.3209,                 1.5903,                0.71452,                0.69077,                0.74455,                0.37934,                 1.5923,                 1.2343,                 1.9084,               0.008713,               0.008713,               0.008713
                     15,                 1.2257,                 1.2968,                 1.5865,                0.76377,                0.76243,                0.79844,                0.39405,                 1.6511,                  1.138,                 1.9786,               0.008614,               0.008614,               0.008614
                     16,                 1.2107,                 1.2878,                 1.5716,                0.77004,                0.74123,                0.79414,                0.40811,                 1.5501,                  1.104,                 1.9187,               0.008515,               0.008515,               0.008515
                     17,                 1.2018,                 1.2561,                  1.562,                0.77194,                0.76809,                0.82209,                0.44196,                 1.5604,                 1.0346,                 1.8939,               0.008416,               0.008416,               0.008416
                     18,                 1.1901,                 1.2475,                 1.5484,                0.76616,                0.76902,                0.81958,                 0.4296,                 1.5687,                  1.063,                  1.884,               0.008317,               0.008317,               0.008317
                     19,                 1.1863,                  1.239,                 1.5568,                0.80077,                0.72747,                0.82302,                0.43798,                 1.5754,                 1.0468,                 1.8942,               0.008218,               0.008218,               0.008218
                     20,                   1.19,                 1.2249,                 1.5477,                0.77155,                0.77387,                0.82378,                0.44787,                 1.5495,                 1.0177,                 1.8321,               0.008119,               0.008119,               0.008119
                     21,                 1.1754,                 1.1906,                 1.5364,                0.79056,                0.77419,                0.82517,                0.40991,                  1.682,                 1.0263,                 1.9971,                0.00802,                0.00802,                0.00802
                     22,                 1.1636,                 1.1781,                 1.5262,                0.79092,                0.74527,                0.83288,                0.47987,                 1.4624,                 1.0014,                 1.7713,               0.007921,               0.007921,               0.007921
                     23,                 1.1565,                 1.1699,                 1.5108,                 0.7871,                0.81535,                0.84643,                0.47869,                  1.508,                0.97075,                 1.8041,               0.007822,               0.007822,               0.007822
                     24,                  1.146,                 1.1594,                 1.5126,                0.79208,                0.75853,                0.83173,                0.46754,                 1.4808,                0.98058,                 1.8103,               0.007723,               0.007723,               0.007723
                     25,                 1.1477,                 1.1469,                 1.5144,                 0.7822,                0.79533,                0.83567,                0.45564,                 1.5087,                0.94149,                 1.8163,               0.007624,               0.007624,               0.007624
                     26,                 1.1494,                 1.1411,                  1.509,                0.81695,                0.77941,                0.85246,                0.49333,                 1.4091,                0.92519,                 1.7253,               0.007525,               0.007525,               0.007525
                     27,                 1.1219,                 1.0986,                 1.4845,                 0.8226,                0.78919,                 0.8581,                0.48748,                 1.4353,                0.91398,                 1.7696,               0.007426,               0.007426,               0.007426
                     28,                  1.114,                 1.1006,                 1.4839,                0.82143,                0.78289,                0.85266,                0.47931,                 1.4799,                0.91888,                 1.7967,               0.007327,               0.007327,               0.007327
                     29,                 1.1074,                 1.0932,                 1.4737,                0.81931,                0.77168,                0.84977,                0.49241,                 1.4162,                0.91996,                 1.7302,               0.007228,               0.007228,               0.007228
                     30,                 1.1096,                 1.0792,                 1.4777,                0.79123,                0.77989,                0.84539,                0.48671,                 1.4389,                0.92266,                 1.7524,               0.007129,               0.007129,               0.007129
                     31,                 1.0999,                 1.0778,                 1.4716,                0.77821,                0.82759,                0.85582,                0.48756,                 1.4708,                0.91344,                 1.7819,                0.00703,                0.00703,                0.00703
                     32,                  1.087,                 1.0513,                 1.4537,                0.80223,                0.80311,                 0.8618,                0.51347,                 1.4077,                0.87996,                 1.7223,               0.006931,               0.006931,               0.006931
                     33,                 1.0965,                 1.0609,                 1.4632,                0.82687,                0.81424,                0.87059,                0.50881,                  1.422,                0.87891,                 1.7405,               0.006832,               0.006832,               0.006832
                     34,                 1.0775,                 1.0429,                 1.4485,                 0.8258,                0.83315,                0.87539,                0.50601,                 1.4462,                0.85051,                 1.7605,               0.006733,               0.006733,               0.006733
                     35,                 1.0801,                 1.0301,                 1.4518,                0.79816,                 0.8109,                0.86768,                0.50592,                 1.3919,                0.90139,                 1.7084,               0.006634,               0.006634,               0.006634
                     36,                 1.0624,                 1.0118,                 1.4391,                0.83857,                0.80892,                0.87071,                0.52043,                 1.4065,                0.84536,                 1.7058,               0.006535,               0.006535,               0.006535
                     37,                 1.0695,                 1.0158,                 1.4339,                0.81904,                0.84761,                0.87228,                0.51026,                 1.4322,                 0.8391,                 1.7494,               0.006436,               0.006436,               0.006436
                     38,                 1.0583,                 1.0013,                  1.432,                0.84908,                  0.802,                0.86792,                0.50903,                 1.4486,                0.85063,                 1.7541,               0.006337,               0.006337,               0.006337
                     39,                 1.0507,                 1.0008,                 1.4229,                0.81621,                0.82496,                0.87112,                0.52026,                 1.4028,                0.84727,                 1.7203,               0.006238,               0.006238,               0.006238
                     40,                 1.0482,                0.98585,                 1.4236,                0.84695,                0.79199,                0.87719,                0.52329,                 1.4181,                0.84044,                 1.7277,               0.006139,               0.006139,               0.006139
